RouteID,StopID,Schedule Period Name,Schedule Period Start Date,Schedule Period End Date,Day Type,Time Period,Average Boardings,Average Alightings
12,10052,Summer 2021,06/20/2021,09/04/2021,Weekday,Evening,0,0
12,9984,Summer 2022,06/19/2022,09/03/2022,Weekday,Morning,0.1,0.1
12,2330,Winter 2022,12/11/2022,04/15/2023,Weekday,Morning,12.3,43.7
12,10053,Fall 2021,09/05/2021,12/11/2021,Weekday,PM Peak,0,1.4
12,9901,Winter 2022,12/11/2022,04/15/2023,Weekday,Evening,3.4,12.2
12,9926,Fall 2020,09/06/2020,12/12/2020,Weekday,PM Peak,0.5,0.4
12,9958,Summer 2024,06/16/2024,08/31/2024,Sunday,Afternoon,3.6,29.6
12,4143,Spring 2020 Special,05/03/2020,08/01/2020,Weekday,Night,0.2,0.7
12,9987,Spring 2019,04/07/2019,06/15/2019,Saturday,Afternoon,1.3,3.5
12,9908,Spring 2020 Special,05/03/2020,08/01/2020,Weekday,Evening,0.2,0.6
12,10054,Winter 2023,12/17/2023,04/13/2024,Sunday,Evening,0,2
12,10055,Spring 2021,04/18/2021,06/19/2021,Saturday,Afternoon,0,0
12,2488,Spring 2022,04/17/2022,06/18/2022,Saturday,Night,2.3,4
12,10012,Winter 2023,12/17/2023,04/13/2024,Sunday,Night,0,0
12,10056,Winter 2020,12/13/2020,04/17/2021,Saturday,Night,0,1
12,10057,Winter 2018,12/16/2018,04/06/2019,Saturday,Morning,1.5,3
12,10058,Fall 2020,09/06/2020,12/12/2020,Saturday,Morning,0,0.3
12,10002,Fall 2020,09/06/2020,12/12/2020,Saturday,Morning,0,1.2
12,9991,Spring 2019,04/07/2019,06/15/2019,Weekday,Morning,0.3,2.7
12,10059,Spring 2019,04/07/2019,06/15/2019,Weekday,Morning,0.8,0
12,10059,Fall 2022,09/04/2022,12/10/2022,Weekday,PM Peak,2.2,1.4
12,3402,Winter 2019,12/15/2019,04/11/2020,Sunday,Evening,0,2
12,10060,Winter 2022,12/11/2022,04/15/2023,Weekday,Mid-Day,0.9,1.4
12,9958,Spring 2020 Special,05/03/2020,08/01/2020,Sunday,Evening,1,4.3
